0.000000, 0.000000, -1.000000, 1.000000
-0.004996, 0.099833, -0.900167, 0.995004
-0.019933, 0.198669, -0.801331, 0.980067
-0.044664, 0.295520, -0.704480, 0.955336
-0.078939, 0.389418, -0.610582, 0.921061
-0.122417, 0.479426, -0.520574, 0.877583
-0.174664, 0.564642, -0.435358, 0.825336
-0.235158, 0.644218, -0.355782, 0.764842
-0.303293, 0.717356, -0.282644, 0.696707
-0.378390, 0.783327, -0.216673, 0.621610
-0.459698, 0.841471, -0.158529, 0.540302
-0.546404, 0.891207, -0.108793, 0.453596
-0.637642, 0.932039, -0.067961, 0.362358
-0.732501, 0.963558, -0.036442, 0.267499
-0.830033, 0.985450, -0.014550, 0.169967
-0.929263, 0.997495, -0.002505, 0.070737
-1.029200, 0.999574, -0.000426, -0.029200
-1.128844, 0.991665, -0.008335, -0.128844
-1.227202, 0.973848, -0.026152, -0.227202
-1.323290, 0.946300, -0.053700, -0.323290
-1.416147, 0.909297, -0.090703, -0.416147
-1.504846, 0.863209, -0.136791, -0.504846
-1.588501, 0.808496, -0.191504, -0.588501
-1.666276, 0.745705, -0.254295, -0.666276
-1.737394, 0.675463, -0.324537, -0.737394
-1.801144, 0.598472, -0.401528, -0.801144
-1.856889, 0.515501, -0.484499, -0.856889
-1.904072, 0.427380, -0.572620, -0.904072
-1.942222, 0.334988, -0.665012, -0.942222
-1.970958, 0.239249, -0.760751, -0.970958
-1.989992, 0.141120, -0.858880, -0.989992
-1.999135, 0.041581, -0.958419, -0.999135
-1.998295, -0.058374, -1.058374, -0.998295
-1.987480, -0.157746, -1.157746, -0.987480
-1.966798, -0.255541, -1.255541, -0.966798
-1.936457, -0.350783, -1.350783, -0.936457
-1.896758, -0.442520, -1.442520, -0.896758
-1.848100, -0.529836, -1.529836, -0.848100
-1.790968, -0.611858, -1.611858, -0.790968
-1.725932, -0.687766, -1.687766, -0.725932
-1.653644, -0.756802, -1.756802, -0.653644
-1.574824, -0.818277, -1.818277, -0.574824
-1.490261, -0.871576, -1.871576, -0.490261
-1.400799, -0.916166, -1.916166, -0.400799
-1.307333, -0.951602, -1.951602, -0.307333
-1.210796, -0.977530, -1.977530, -0.210796
-1.112153, -0.993691, -1.993691, -0.112153
-1.012389, -0.999923, -1.999923, -0.012389
-0.912501, -0.996165, -1.996165, 0.087499
-0.813488, -0.982453, -1.982453, 0.186512
-0.716338, -0.958924, -1.958924, 0.283662
-0.622022, -0.925815, -1.925815, 0.377978
-0.531483, -0.883455, -1.883455, 0.468517
-0.445626, -0.832267, -1.832267, 0.554374
-0.365307, -0.772764, -1.772764, 0.634693
-0.291330, -0.705540, -1.705540, 0.708670
-0.224434, -0.631267, -1.631267, 0.775566
-0.165287, -0.550686, -1.550686, 0.834713
-0.114480, -0.464602, -1.464602, 0.885520
-0.072522, -0.373877, -1.373877, 0.927478
-0.039830, -0.279415, -1.279415, 0.960170
-0.016732, -0.182163, -1.182163, 0.983268
-0.003458, -0.083089, -1.083089, 0.996542
-0.000141, 0.016814, -0.983186, 0.999859
-0.006815, 0.116549, -0.883451, 0.993185
-0.023412, 0.215120, -0.784880, 0.976588
-0.049767, 0.311541, -0.688459, 0.950233
-0.085617, 0.404850, -0.595150, 0.914383
-0.130603, 0.494113, -0.505887, 0.869397
-0.184275, 0.578440, -0.421560, 0.815725
-0.246098, 0.656987, -0.343013, 0.753902
-0.315453, 0.728969, -0.271031, 0.684547
-0.391649, 0.793668, -0.206332, 0.608351
-0.473922, 0.850437, -0.149563, 0.526078
-0.561453, 0.898708, -0.101292, 0.438547
-0.653365, 0.938000, -0.062000, 0.346635
-0.748740, 0.967920, -0.032080, 0.251260
-0.846626, 0.988168, -0.011832, 0.153374
-0.946045, 0.998543, -0.001457, 0.053955
-1.046002, 0.998941, -0.001059, -0.046002
-1.145500, 0.989358, -0.010642, -0.145500
-1.243544, 0.969890, -0.030110, -0.243544
-1.339155, 0.940731, -0.059269, -0.339155
-1.431377, 0.902172, -0.097828, -0.431377
-1.519289, 0.854599, -0.145401, -0.519289
-1.602012, 0.798487, -0.201513, -0.602012
-1.678720, 0.734397, -0.265603, -0.678720
-1.748647, 0.662969, -0.337031, -0.748647
-1.811093, 0.584917, -0.415083, -0.811093
-1.865435, 0.501021, -0.498979, -0.865435
-1.911130, 0.412118, -0.587882, -0.911130
-1.947722, 0.319098, -0.680902, -0.947722
-1.974844, 0.222890, -0.777110, -0.974844
-1.992225, 0.124454, -0.875546, -0.992225
-1.999693, 0.024775, -0.975225, -0.999693
-1.997172, -0.075151, -1.075151, -0.997172
-1.984688, -0.174327, -1.174327, -0.984688
-1.962365, -0.271761, -1.271761, -0.962365
-1.930426, -0.366479, -1.366479, -0.930426
-1.889191, -0.457536, -1.457536, -0.889191
-1.839072, -0.544021, -1.544021, -0.839072
